,sid,qb16v,qc06
1018,1018,10.其他高技术,357631.395
1019,1019,10.其他高技术,147283.49
40,40,1.电子与信息,87575.4
52,52,1.电子与信息,49061.339
966,966,1.电子与信息,39630.17
767,767,1.电子与信息,33964.7
964,964,5.新能源、高效节能,28683.8
764,764,1.电子与信息,26354.521
465,465,1.电子与信息,23578.8
647,647,6.环境保护,22452.1
618,618,1.电子与信息,17069.8
301,301,2.生物、医药技术,15773.2
75,75,1.电子与信息,15665.5
150,150,1.电子与信息,14435.29
70,70,1.电子与信息,14349.7
417,417,4.光机电一体化,14080.9
962,962,6.环境保护,13817.9
829,829,10.其他高技术,12682.5
435,435,10.其他高技术,9596
787,787,3.新材料,8889
415,415,1.电子与信息,8435.7
1039,1039,6.环境保护,7738.5
466,466,4.光机电一体化,7688.4
515,515,1.电子与信息,7326.2
82,82,10.其他高技术,7174.4
580,580,1.电子与信息,6688.3
11,11,1.电子与信息,6249.3
847,847,2.生物、医药技术,6113.1
348,348,2.生物、医药技术,6031
37,37,1.电子与信息,5825.4
1017,1017,1.电子与信息,5333.7
292,292,10.其他高技术,5304.9
7,7,1.电子与信息,5211.195
845,845,10.其他高技术,5056.588
631,631,1.电子与信息,5053.1
628,628,2.生物、医药技术,4456.5
173,173,1.电子与信息,4384.351
310,310,2.生物、医药技术,4244
652,652,1.电子与信息,4195.4
809,809,10.其他高技术,4171
482,482,1.电子与信息,4168.7
714,714,1.电子与信息,4002.5
373,373,2.生物、医药技术,4000.8
358,358,2.生物、医药技术,4000
302,302,10.其他高技术,3852.3
477,477,6.环境保护,3789.21
1027,1027,10.其他高技术,3599.002
827,827,6.环境保护,3590.1
280,280,1.电子与信息,3538.7
187,187,1.电子与信息,3500
603,603,2.生物、医药技术,3414.3
719,719,2.生物、医药技术,3384.606
335,335,2.生物、医药技术,3344.8
176,176,1.电子与信息,3260.9
835,835,6.环境保护,3246.1
963,963,10.其他高技术,3102.6
808,808,2.生物、医药技术,3082.7
59,59,1.电子与信息,3010.8
48,48,1.电子与信息,3005.5
