id,st_title,st_abstract,st_year
s10084,neutralization-sensitive merozoite surface antigens of babesia bovis encoded by members of a polymorphic gene family.,"neutralization-sensitive merozoite surface antigens of babesia bovis encoded by members of a polymorphic gene family.. Monospecific antibodies against native and recombinant versions of the major merozoite surface antigen (MSA-1) of Babesia bovis neutralize the infectivity of merozoites from Texas and Mexico strains in vitro. Sequence analysis shows that MSA-1 and a related, co-expressed 44 kDa merozoite surface protein (MSA-2) are encoded by members of a multigene family previously designated BabR. BabR genes, originally described in Australia strains of B. bovis, are notable because their marked polymorphism is apparently mediated by chromosomal rearrangements, but protein products of BabR genes have not previously been identified. The 3' terminal 173 nucleotides of the MSA-1 gene, including 60 nucleotides of untranslated sequence, are highly similar to the 3' terminal sequences of BabR 0.8 (84% identity) and MSA-2 (94% identity). Alignment of the predicted protein sequences demonstrates significant overall homology between MSA-1 and MSA-2, and between both proteins and the amino terminal BabR sequence. MSA-1 nucleic acid probes also hybridize weakly to genomic DNA from the Australia 'L' strain, even though this strain does not express merozoite surface epitopes cross-reactive with MSA-1 or MSA-2. Hybridization of these same probes to genomic DNA from the cloned Mexico strain reveals a pattern of bands compatible with two copies each of MSA-1 and MSA-2. Proteins encoded by this B. bovis gene family have been designated variable merozoite surface antigens (VMSA). The extent and mechanism of VMSA polymorphism among strains will be important when evaluating the role these surface proteins have in the host-parasite interaction, including immunity to blood stages.",1992
s10093,signalling through the mhc class ii cytoplasmic domain is required for antigen presentation and induces b7 expression.,"signalling through the mhc class ii cytoplasmic domain is required for antigen presentation and induces b7 expression.. Class II major histocompatibility complex (MHC) molecules function as antigen-presenting elements as well as signal transducers on B lymphocytes. We previously reported that a B lymphoma cell transfectant, 5C2, expressing genetically engineered I-Ak molecules with truncated cytoplasmic domains was severely impaired in both antigen presentation and in anti-Ia-induced intracytoplasmic signalling. These two functions could be restored by preculturing 5C2 cells with cyclic AMP analogues. Here we demonstrate that impaired signal transduction by truncated class II molecules results in a deficiency in induction of the newly defined B-cell accessory molecule B7 (ref. 8), which can be reversed by restoration of B7 expression. These data imply that contact of the T-cell antigen receptor with MHC/antigen ligand results in signal transmission through the class II cytoplasmic domain. This signal, which can be mimicked by dibutyryl cAMP, induces expression of B7, resulting in effective antigen presentation. The fact that crosslinking of surface class II MHC also induces B7 expression on normal resting human B cells supports this contention.",1992
s10107,cloning and surface expression of pseudomonas aeruginosa o antigen in escherichia coli.,"cloning and surface expression of pseudomonas aeruginosa o antigen in escherichia coli.. As a step toward developing recombinant oral vaccines, we have explored the feasibility of expression of O polysaccharide antigens from Pseudomonas aeruginosa by Escherichia coli. We cloned in E. coli HB101 a 26.2-kilobase DNA fragment from P. aeruginosa strain PA103 that specifies the production of the O polysaccharide of Fisher immunotype 2 (IT-2) strains. The recombinant organism incorporated the P. aeruginosa IT-2 O polysaccharide onto the core of the E. coli lipopolysaccharide (LPS). Transfer of the recombinant plasmid to three LPS-rough strains of P. aeruginosa resulted in synthesis of IT-2 O antigen, and two of these transconjugant strains also synthesized a second O polysaccharide, presumably representing expression of a repressed, or an incomplete, set of genes for an endogenous O polysaccharide. Rabbits injected with the purified recombinant LPS made antibody specific for P. aeruginosa IT-2 O side chains, as did mice fed the recombinant E. coli strain. Expression of P. aeruginosa O antigens by enteric bacteria makes it possible to study these recombinant strains as oral vaccines to prevent P. aeruginosa infections.",1992
s10198,murine b7 antigen provides a sufficient costimulatory signal for antigen-specific and mhc-restricted t cell activation.,"murine b7 antigen provides a sufficient costimulatory signal for antigen-specific and mhc-restricted t cell activation.. We have previously shown that the murine B7 (mB7) molecule, when expressed in Chinese hamster ovary cells in stable fashion, can costimulate with anti-CD3 mAb or Con A to induce T cell activation. We have now derived, by gene transfection, Chinese hamster ovary cell lines that express the I-Ad molecule, either alone or in context with mB7. We have analyzed these transfectants for their capacity to present Ag to murine CD4+ T lymphocytes. I-Ad/mB7-double transfectants were able to stimulate mixed lymphocyte reactions and to present peptide Ag to specific T cells. Chinese hamster ovary cells that expressed only the I-Ad molecule were not able to stimulate T cell proliferation in these systems. Thus, the mB7 protein is a sufficient costimulatory molecule for the physiologic, Ag-dependent/MHC-restricted activation of murine CD4+ T cells. Stimulation of T cell bulk cultures resulted predominantly in the production of IL-2 and not of IL-4. The costimulatory activity of mB7 is not, however, restricted to the IL-2-secreting subset. We have identified one IL-4-secreting T cell clone, CDC35, which is responsive to mB7 triggering. Finally, we present experiments that suggest that mB7 and peptide/MHC complexes need to be expressed on the same cell for optimal induction of T cell activation.",1992
s10289,the blood group antigen-related glycoepitopes: key structural determinants in immunogenesis and aids pathogenesis.,"the blood group antigen-related glycoepitopes: key structural determinants in immunogenesis and aids pathogenesis.. This overview will focus on the functional and pathophysiological aspects of blood group antigen (BGA)-related glycodeterminants with regard to immunogenesis and AIDS pathogenesis. It has been postulated that in a broad range of histogenetically different tissues and organs, BGA-related glycoepitopes are expressed on the cell surface at definite stages of cell differentiation. These glycoepitopes are expressed during embryogenesis, organogenesis, tissue repair, regeneration, remodelling and maturation when 'sorting-out' of one homotypic cell population from a heterotypic assemblage of cells occurs (1). In this event, the BGA-related glycoepitopes, if being expressed on the cell surface, play roles of key structural determinants in cell-cell recognition, association and aggregation. This mechanism will be discussed in relation to immunogenesis with regard to antigen presentation, self-non-self discrimination, and positive and negative selection during thymic education. It is postulated that the appearance of BGA-related glycoepitopes on the cell membrane is a consequence of the association of major histocompatibility complex antigens (MHC) and peptides, with the subsequent elimination of cells carrying a high density of BGA-related glycoepitopes on their surface. After human immunodeficiency virus (HIV) glycoproteins are glycosylated by host cell glycosyltransferases, the virus may use the BGA-related glycodeterminants as ligands and/or receptors for expansion to a spectrum of target cells during AIDS development and generalization of the infection throughout the body. We will review the experimental evidence that supports the concept that HIV uses an alternative to the gp120/CD4 ligand/receptor system, and that the alternative mechanism is probably carbohydrate-mediated in nature.",1992
s10545,proteasome subunits encoded by the major histocompatibility complex are not essential for antigen presentation.,"proteasome subunits encoded by the major histocompatibility complex are not essential for antigen presentation.. Major histocompatibility complex (MHC) class I molecules bind and deliver peptides derived from endogenously synthesized proteins to the cell surface for survey by cytotoxic T lymphocytes. It is believed that endogenous antigens are generally degraded in the cytosol, the resulting peptides being translocated into the endoplasmic reticulum where they bind to MHC class I molecules. Transporters containing an ATP-binding cassette encoded by the MHC class II region seem to be responsible for this transport. Genes coding for two subunits of the '20S' proteasome (a multicatalytic proteinase) have been found in the vicinity of the two transporter genes in the MHC class II region, indicating that the proteasome could be the unknown proteolytic entity in the cytosol involved in the generation of MHC class I-binding peptides. By introducing rat genes encoding the MHC-linked transporters into a human cell line lacking both transporter and proteasome subunit genes, we show here that the MHC-encoded proteasome subunit are not essential for stable MHC class I surface expression, or for processing and presentation of antigenic peptides from influenza virus and an intracellular protein.",1992
s10961,involvement of simian virus 40 (sv40) small t antigen in trans activation of sv40 early and late promoters.,"involvement of simian virus 40 (sv40) small t antigen in trans activation of sv40 early and late promoters.. We have previously found that simian virus 40 (SV40) small t antigen (small t) can trans activate the E2A and VA-I genes of adenovirus in plasmid DNA-transfected cells (M. R. Loeken, I. Bikel, D. M. Livingston, and J. Brady, Cell 55:1171-1177, 1988). To determine whether trans activation by small t might be involved in the SV40 productive infection cycle, we examined the effects of cotransfecting plasmids encoding small t with plasmids containing the chloramphenicol acetyltransferase (CAT) gene linked to the SV40 early or late promoter. Small t increased three- to fivefold the expression of a CAT plasmid linked to the SV40 early promoter and enhancer. Small t expression had no effect by itself on CAT activity directed by the SV40 late promoter, but small t enhanced the effect of a suboptimal concentration of a plasmid expressing large T up to 10-fold. When the concentration of the plasmid expressing large T was increased to a level at which large T alone stimulated the late promoter ninefold, the enhancement by small t was only twofold. The effects of small t on both the SV40 early and late promoters depended on sequences within the small t-unique domain, since a plasmid expressing only the first 82 amino acids common to both large T and small t was inactive. The effects of small t on early- and late-promoter-directed CAT enzyme activity was reflected in increased CAT mRNA as measured by S1 analysis. These results suggest that SV40 small t may play a role in viral infection by increasing transcription from the early promoter and from the late promoter at times when large T levels are low.",1992
s10966,human cd8+ herpes simplex virus-specific cytotoxic t-lymphocyte clones recognize diverse virion protein antigens.,"human cd8+ herpes simplex virus-specific cytotoxic t-lymphocyte clones recognize diverse virion protein antigens.. The role of the HLA class I-restricted, CD8+, herpes simplex virus (HSV)-specific cytotoxic T lymphocytes (CTL) in the control of human HSV infections is controversial because previous reports suggest that a substantial portion of the antigen-specific lytic response is mediated by CD4+ cells. To address this question directly, we isolated HSV-specific CD8+ CTL clones from a patient with recurrent genital herpes. These CTL were cloned by coculturing responder peripheral blood mononuclear cells (PBMC) with phytohemagglutinin-stimulated PBMC that had been infected with live HSV-2 and then irradiated prior to the addition of responder cells. After 1 week, CTL were cloned by limiting dilution using phytohemagglutinin stimulation and allogeneic feeder PBMC. Seven clones were isolated; all seven clones were CD8+ CD4- CD3+ DRbright, six lysed only HSV-2-infected targets, and one lysed both HSV-1- and HSV-2-infected targets. Antigen presentation was restricted by two to three different HLA class I loci. To determine the antigens recognized by these HSV-specific CTL, target cells were infected with HSV in the presence of acyclovir, 5,6-dichloro-1-beta-D-ribofuranosylbenzimidazole, or cycloheximide in a series of drug block/release protocols to limit the repertoire of viral gene expression to select transcriptional classes. Five of the clones exhibited a different pattern of cytotoxicity, suggesting that each recognized a distinct HSV antigen. One of the clones appears to be directed against an immediate-early antigen; six of the clones recognize virion proteins. Five of these clones recognized internal virion proteins that could be introduced into target cells by HSV infection in the absence of virus gene expression. Antigen specificity was further tested by using vaccinia virus vectors that express glycoproteins gD2 and gB2 or the tegument protein VP16. One clone lysed vaccinia virus/gD2-infected target cells; the remaining clones did not recognize any of these gene products. The diversity of the CD8+ response from a single individual indicated that several different antigens are recognized when presented in the context of a variety of class I HLA alleles, a pattern that markedly differs from that described for another human herpesvirus, cytomegalovirus.",1992
s10996,an endogenous antigenic peptide bypasses the class i antigen presentation defect in rma-s.,"an endogenous antigenic peptide bypasses the class i antigen presentation defect in rma-s.. The RMA-S cell line was derived from the Raucher virus-induced murine cell line RBL-5 by ethylmethane sulfonate mutagenesis and anti-H-2 antibody plus complement selection (Ljunggren, H.-G., and K. Karre. 1985. J. Exp. Med. 162:1745). RMA-S is defective in the ability to present endogenously synthesized antigens to class I major histocompatibility complex (MHC)-restricted cytotoxic T lymphocytes (CTL) (Townsend, A., C. Ohlen, J. Bastin, H.-G. Ljunggren, L. Foster, and K. Karre. 1989. Nature [Lond.]. 340:443; Ohlen, C., J. Bastin, H.-G. Ljunggren, L. Foster, E. Wolpert, G. Klein, A. R. M. Townsend, and K. Karre. 1990. J. Immunol. 145:52). This defect has been attributed to the inability of RMA-S to deliver antigenic peptides derived from antigens in the cytosol into the endoplasmic reticulum (ER), where they can associate with class I MHC molecules (Townsend, A., C. Ohlen, J. Bastin, H.-G. Ljunggren, L. Foster, and K. Karre. 1989. Nature [Lond.]. 340:443). We show that RMA-S can present at least one endogenous antigen, vesicular stomatitis virus nucleoprotein (VSV-N), to class I MHC-restricted CTL. RMA-S presents VSV-N to CTL both when infected with VSV or transfected with the VSV nucleoprotein gene. The natural antigenic VSV nucleoprotein peptides purified from either RMA or RMA-S are indistinguishable when analyzed by high performance liquid chromatography. We also show that the genetic defect responsible for the RMA-S phenotype maps to the murine chromosome 17. This chromosome encodes the murine class I MHC genes as well as two genes, HAM-1 and -2, with homology to the adenosine triphosphate-dependent transporter superfamily (Monaco, J. J., S. Cho, and M. Attaya. 1990. Science [Wash. DC]. 250:1723). These results suggest that the system that delivers antigenic peptides from the cytosol to the ER in RMA-S may still be present and retain partial function.",1992
s11030,preferential association of alpha and beta chains of the t cell antigen receptor.,"preferential association of alpha and beta chains of the t cell antigen receptor.. The cytotoxic T lymphocyte (CTL) clone B6.2.16 expresses a V beta 8.2/J beta 2.3/C beta 2-encoded T cell receptor (TcR) beta chain and an alpha chain that is encoded by a novel V alpha gene segment, J alpha 27 and C alpha. While expression of V alpha B6.2.16 and J alpha 27 is not detectable in lymph node cells of normal C57BL/6 mice, expression of these gene segments was readily seen in transgenic mice expressing the rearranged beta chain gene of the B6.2.16 T cell clone. This finding indicates that only a limited number of alpha chains can associate with the B6.2.16 beta chain and strongly suggests that the size of the TcR repertoire of mature T cells is not only limited by TcR ligand-mediated thymic selection but also by restrictions in alpha-beta combinatorial chain association.",1992
